"Tag Code","Mark File Name","Mark Date MMDDYYYY","Mark Site Name","Release Date MMDDYYYY","Release Site Name","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Recap Date MMDDYYYY","Recap File Name","Recap Release Date MMDDYYYY","Recap Release Site Name","Recap Site Name","Recap Species Code","Recap Species Name","Recap Run Code","Recap Run Name","Recap Rear Type Code","Recap Rear Type Name","Recap Length mm","Recap Weight g","Recap Count"
"384.1B7973062D","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/12/2022","ILR-2022-132-HYD.xml","5/12/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","67","2.9","1"
"384.1B7973069A","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/9/2022","ILR-2022-129-HYD.xml","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","80","5.2","1"
"384.1B79730776","ILR-2022-148-LEM.xml","5/28/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","5/28/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/29/2022","ILR-2022-149-LEM.xml","5/29/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","68","3.4","1"
"384.1B797307CD","QCI-2019-175-LFA.xml","6/24/2019","LEMHIR - Lemhi River","6/24/2019","LEMHIR - Lemhi River","1","Chinook","1","Spring","W","Wild Fish or Natural Production","5/7/2020","ILR-2020-128-LLR.xml","5/7/2020","LLRTP - Lower Lemhi River Rotary Screw Trap","LLRTP - Lower Lemhi River Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","124","22.2","1"
"384.1B797307D0","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/10/2022","ILR-2022-130-HYD.xml","5/10/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","76","4.9","1"
"384.1B79730B48","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/8/2022","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","80","5.2","1"
"384.1B79730DE6","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/8/2022","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","67","3.3","1"
"384.1B797311DF","ILR-2022-093-LEM.xml","4/3/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","4/3/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/23/2022","ILR-2022-143-LEM.xml","5/23/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","100","11.2","1"
"384.1B79731CA1","ILR-2020-288-HYD.xml","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/15/2020","ILR-2020-289-HYD.xml","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B79731DD5","ILR-2021-126-LEM.xml","5/6/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","5/6/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/7/2021","ILR-2021-127-LEM.xml","5/7/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","77","4.6","1"
"384.1B79731E7E","ILR-2020-310-HYD.xml","11/5/2020","HYDTRP - Hayden Creek Rotary Screw Trap","11/5/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","11/6/2020","ILR-2020-311-HYD.xml","11/6/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B79758B25","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/9/2022","ILR-2022-129-HYD.xml","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","71","3.7","1"
"384.1B79758B3C","ILR-2022-094-LEM.xml","4/4/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","4/4/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","4/5/2022","ILR-2022-095-LEM.xml","4/5/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","77","4.9","1"
