tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D7FD9AC,HRSC-OUT,5,Observation,1,2021-12-19T22:16:41Z,2021-12-19T22:16:41Z,0,4477,1.243611111111111,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FDBF0,HRSC-OUT,2,Observation,5,2021-09-05T02:32:12Z,2021-09-05T04:42:44Z,7832,659672,183.2422222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE1A5,HRSC-OUT,2,Observation,1,2021-09-15T22:32:55Z,2021-09-15T22:32:55Z,0,16676,4.6322222222222225,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE21F,HRSC-OUT,9,Observation,1,2021-09-05T10:58:15Z,2021-09-05T10:58:15Z,0,163,0.04527777777777778,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE2FA,HRSC-OUT,4,Observation,1,2021-09-29T20:38:22Z,2021-09-29T20:38:22Z,0,6459,1.7941666666666667,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3B8,HRSC-OUT,2,Observation,1,2021-09-06T23:34:06Z,2021-09-06T23:34:06Z,0,45876,12.743333333333334,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3BB,HRSC-OUT,4,Observation,1,2021-09-02T20:58:58Z,2021-09-02T20:58:58Z,0,8154,2.265,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3DB,HRSC-OUT,2,Observation,2,2021-09-03T21:42:24Z,2021-09-03T22:09:54Z,1650,305749,84.93027777777777,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3DD,HRSC-OUT,2,Observation,2,2021-09-05T01:36:47Z,2021-09-05T01:40:30Z,223,58967,16.379722222222224,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE518,HRSC-MID,12,Observation,1,2022-07-31T22:07:15Z,2022-07-31T22:07:15Z,0,65,0.018055555555555554,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
