tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D57E041,HRSC-OUT,14,Observation,178,2022-05-05T04:02:17Z,2022-05-05T04:02:23Z,6,114,0.03166666666666667,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,15,Observation,785,2022-05-05T20:18:22Z,2022-05-05T20:28:54Z,632,58559,16.26638888888889,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F3F0,HRSC-OUT,1,Observation,1,2021-10-13T18:59:16Z,2021-10-13T18:59:16Z,0,NA,NA,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F3F0,HRSC-OUT,2,Observation,1,2021-10-13T20:57:43Z,2021-10-13T20:57:43Z,0,7107,1.9741666666666666,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F3F0,HRSC-OUT,3,Observation,1,2021-10-14T06:26:12Z,2021-10-14T06:26:12Z,0,34109,9.474722222222223,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-MID,3,Observation,11,2021-10-20T19:37:50Z,2021-10-21T04:12:09Z,30859,551,0.15305555555555556,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,5,Observation,3,2021-10-21T07:26:52Z,2021-10-21T07:37:48Z,656,368,0.10222222222222223,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,7,Observation,4,2021-10-21T18:43:28Z,2021-10-22T06:23:36Z,42008,648,0.18,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,9,Observation,47,2021-10-22T19:34:37Z,2021-10-23T04:29:11Z,32074,269,0.07472222222222222,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,11,Observation,43,2021-10-23T19:47:59Z,2021-10-23T20:32:06Z,2647,3788,1.0522222222222222,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,13,Observation,11,2021-10-24T18:38:50Z,2021-10-25T06:33:29Z,42879,227,0.06305555555555556,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
