site,tag,detected,reader,antenna
0HR,3DD.003DE6691F,9/26/2022 19:56,1,1
0HR,3DD.003DE66849,9/26/2022 19:53,1,2
0HR,3E7.0000001D03,9/26/2022 19:37,1,3
0HR,3E7.0000001D02,9/26/2022 19:37,1,2
0HR,3E7.0000001D01,9/26/2022 19:37,1,1
0HR,3DD.003DE66838,9/26/2022 19:36,1,2
0HR,3DD.003DE66241,9/26/2022 19:27,1,2
0HR,3DD.003DE66858,9/26/2022 18:48,1,2
0HR,3DD.003DA21044,9/26/2022 18:47,1,2
0HR,3DD.003DE66934,9/26/2022 18:39,1,3
0HR,3DD.003DE66919,9/26/2022 18:37,1,2
0HR,3E7.0000001D01,9/26/2022 18:37,1,1
0HR,3E7.0000001D03,9/26/2022 18:37,1,3
0HR,3E7.0000001D02,9/26/2022 18:37,1,2
0HR,3DD.003DE66297,9/26/2022 18:26,1,3
0HR,3E7.0000001D02,9/26/2022 17:37,1,2
0HR,3E7.0000001D01,9/26/2022 17:37,1,1
0HR,3E7.0000001D03,9/26/2022 17:37,1,3
0HR,3E7.0000001D01,9/26/2022 16:37,1,1
0HR,3E7.0000001D03,9/26/2022 16:37,1,3
0HR,3E7.0000001D02,9/26/2022 16:37,1,2
0HR,3E7.0000001D01,9/26/2022 15:37,1,1
0HR,3E7.0000001D03,9/26/2022 15:37,1,3
0HR,3E7.0000001D02,9/26/2022 15:37,1,2
0HR,3E7.0000001D01,9/26/2022 14:37,1,1
0HR,3E7.0000001D03,9/26/2022 14:37,1,3
0HR,3E7.0000001D02,9/26/2022 14:37,1,2
0HR,3E7.0000001D02,9/26/2022 13:37,1,2
0HR,3E7.0000001D01,9/26/2022 13:37,1,1
0HR,3E7.0000001D03,9/26/2022 13:37,1,3
0HR,3E7.0000001D02,9/26/2022 12:37,1,2
0HR,3E7.0000001D01,9/26/2022 12:37,1,1
0HR,3E7.0000001D03,9/26/2022 12:37,1,3
0HR,3E7.0000001D01,9/26/2022 11:37,1,1
0HR,3E7.0000001D03,9/26/2022 11:37,1,3
0HR,3E7.0000001D02,9/26/2022 11:37,1,2
0HR,3E7.0000001D03,9/26/2022 10:37,1,3
0HR,3E7.0000001D02,9/26/2022 10:37,1,2
0HR,3E7.0000001D01,9/26/2022 10:37,1,1
0HR,3E7.0000001D01,9/26/2022 9:37,1,1
0HR,3E7.0000001D03,9/26/2022 9:37,1,3
0HR,3E7.0000001D02,9/26/2022 9:37,1,2
0HR,3E7.0000001D02,9/26/2022 8:37,1,2
0HR,3E7.0000001D01,9/26/2022 8:37,1,1
0HR,3E7.0000001D03,9/26/2022 8:37,1,3
0HR,3E7.0000001D03,9/26/2022 7:37,1,3
0HR,3E7.0000001D02,9/26/2022 7:37,1,2
0HR,3E7.0000001D01,9/26/2022 7:37,1,1
0HR,3E7.0000001D01,9/26/2022 6:37,1,1
0HR,3E7.0000001D03,9/26/2022 6:37,1,3
0HR,3E7.0000001D02,9/26/2022 6:37,1,2
0HR,3E7.0000001D03,9/26/2022 5:37,1,3
0HR,3E7.0000001D02,9/26/2022 5:37,1,2
0HR,3E7.0000001D01,9/26/2022 5:37,1,1
0HR,3E7.0000001D03,9/26/2022 4:37,1,3
0HR,3E7.0000001D02,9/26/2022 4:37,1,2
0HR,3E7.0000001D01,9/26/2022 4:37,1,1
0HR,3E7.0000001D01,9/26/2022 3:37,1,1
0HR,3E7.0000001D03,9/26/2022 3:37,1,3
0HR,3E7.0000001D02,9/26/2022 3:37,1,2
0HR,3E7.0000001D02,9/26/2022 2:37,1,2
0HR,3E7.0000001D01,9/26/2022 2:37,1,1
0HR,3E7.0000001D03,9/26/2022 2:37,1,3
0HR,3E7.0000001D03,9/26/2022 1:37,1,3
0HR,3E7.0000001D02,9/26/2022 1:37,1,2
0HR,3E7.0000001D01,9/26/2022 1:37,1,1
0HR,3E7.0000001D01,9/26/2022 0:37,1,1
0HR,3E7.0000001D03,9/26/2022 0:37,1,3
0HR,3E7.0000001D02,9/26/2022 0:37,1,2
0HR,3E7.0000001D03,9/25/2022 23:37,1,3
0HR,3E7.0000001D02,9/25/2022 23:37,1,2
0HR,3E7.0000001D01,9/25/2022 23:37,1,1
0HR,3DD.003DE66254,9/25/2022 23:16,1,3
0HR,3DD.003DE6626B,9/25/2022 23:12,1,3
0HR,3E7.0000001D01,9/25/2022 22:37,1,1
0HR,3E7.0000001D03,9/25/2022 22:37,1,3
0HR,3E7.0000001D02,9/25/2022 22:37,1,2
0HR,384.1B7975A4F3,9/25/2022 22:24,1,2
0HR,3DD.003E21482B,9/25/2022 21:54,1,3
0HR,3E7.0000001D02,9/25/2022 21:37,1,2
0HR,3E7.0000001D01,9/25/2022 21:37,1,1
0HR,3E7.0000001D03,9/25/2022 21:37,1,3
0HR,3DD.003DE668F9,9/25/2022 21:22,1,2
0HR,3DD.003DE66253,9/25/2022 21:05,1,3
0HR,3DD.003DE66905,9/25/2022 20:43,1,2
0HR,3E7.0000001D02,9/25/2022 20:37,1,2
0HR,3E7.0000001D01,9/25/2022 20:37,1,1
0HR,3E7.0000001D03,9/25/2022 20:37,1,3
0HR,3E7.0000001D03,9/25/2022 19:37,1,3
0HR,3E7.0000001D02,9/25/2022 19:37,1,2
0HR,3E7.0000001D01,9/25/2022 19:37,1,1
0HR,3DD.003DE6629E,9/25/2022 19:36,1,2
0HR,3DD.003DE668FB,9/25/2022 19:31,1,3
0HR,3DD.003DE6691E,9/25/2022 19:14,1,2
0HR,3DD.003DE668F0,9/25/2022 18:59,1,3
0HR,3E7.0000001D02,9/25/2022 18:37,1,2
0HR,3E7.0000001D01,9/25/2022 18:37,1,1
0HR,3E7.0000001D03,9/25/2022 18:37,1,3
0HR,3E7.0000001D01,9/25/2022 17:37,1,1
0HR,3E7.0000001D03,9/25/2022 17:37,1,3
0HR,3E7.0000001D02,9/25/2022 17:37,1,2
0HR,3E7.0000001D03,9/25/2022 16:37,1,3
0HR,3E7.0000001D02,9/25/2022 16:37,1,2
0HR,3E7.0000001D01,9/25/2022 16:37,1,1
