tag_num
3E7.0000001D01
3E7.0000001D02
3E7.0000001D05
3E7.0000001D08
3E7.0000001D11
3E7.0000001D14
3E7.0000001D17
3E7.0000001D20
3D9.1C2D7084E1
3E7.0000001D03
3E7.0000001D06
3E7.0000001D09
3E7.0000001D12
3E7.0000001D15
3E7.0000001D18
3D9.1C2D6EFF96
